"city","state","GEOID","holc_grade_pop"
"Mobile","AL","01097002502",2.70254477626818
"Mobile","AL","01097002600",3
"Montgomery","AL","01101000100",4
"Montgomery","AL","01101000600",3.79014097220977
"Montgomery","AL","01101001100",4
"Montgomery","AL","01101001700",3
"Montgomery","AL","01101002100",1.42988879206277
"Montgomery","AL","01101005301",
"Montgomery","AL","01101000200",4
"Montgomery","AL","01101000300",4
"Montgomery","AL","01101000400",3.98929479179511
"Montgomery","AL","01101000500",3.00002895224526
"Montgomery","AL","01101000700",3.1900719411218
"Montgomery","AL","01101000900",4
"Montgomery","AL","01101001000",4
"Montgomery","AL","01101001200",3.97428576056941
"Montgomery","AL","01101001300",1.78145592937699
"Montgomery","AL","01101001400",1.4015514676634
"Montgomery","AL","01101001500",3.47802921028671
"Montgomery","AL","01101001600",3.00023502261548
"Montgomery","AL","01101001800",3.00006716660593
"Montgomery","AL","01101001900",
"Montgomery","AL","01101002000",2.28203731815778
"Montgomery","AL","01101002201",2.13782455122458
"Montgomery","AL","01101002300",2.92684973881778
"Montgomery","AL","01101002400",3.88668797944603
"Montgomery","AL","01101002500",4
"Montgomery","AL","01101002800",3
"Montgomery","AL","01101003000",
"Montgomery","AL","01101003301",3
"Montgomery","AL","01101005102",
"Little Rock","AR","05119001100",3.3179725892199
"Little Rock","AR","05119001600",1.1006617220142
"Little Rock","AR","05119002103",
"Little Rock","AR","05119003001",2.07127090586063
"Little Rock","AR","05119004500",2.86351677175913
"Little Rock","AR","05119000200",4
"Little Rock","AR","05119000500",3.5888720755791
"Little Rock","AR","05119001200",3
"Little Rock","AR","05119001300",3.00004329785813
"Little Rock","AR","05119001501",1.48842296848509
"Little Rock","AR","05119001502",1.35239015859762
"Little Rock","AR","05119001800",2.66600387620682
"Little Rock","AR","05119001900",2.77207460495147
"Little Rock","AR","05119002001",
"Little Rock","AR","05119002002",
"Little Rock","AR","05119002102",
"Little Rock","AR","05119002104",
"Little Rock","AR","05119002203",1
"Little Rock","AR","05119004303",
"Little Rock","AR","05119004400",2.71000677353901
"Little Rock","AR","05119004600",3.24647179485698
"Little Rock","AR","05119004700",2.15217150012562
"Little Rock","AR","05119002406",
"Little Rock","AR","05119002500",3.01338266723826
"Little Rock","AR","05119002600",3.38643395437591
"Little Rock","AR","05119002800",3.99976118818443
"Little Rock","AR","05119002900",3.4196107498574
"Little Rock","AR","05119003002",2.68503629107325
"Little Rock","AR","05119003100",
"Little Rock","AR","05119003202",
"Little Rock","AR","05119003205",
"Little Rock","AR","05119003304",1
"Little Rock","AR","05119003305",1
"Little Rock","AR","05119003800",
"Little Rock","AR","05119004001",
"Little Rock","AR","05119004800",2.11089458305771
"Little Rock","AR","05119004900",1.82261683655178
"Little Rock","AR","05119003208",
"Phoenix","AZ","04013110400",
"Phoenix","AZ","04013110701",2.39807220968391
"Phoenix","AZ","04013111601",2
"Phoenix","AZ","04013111900",1.02095540423571
"Phoenix","AZ","04013113000",2.41287485884008
"Phoenix","AZ","04013113203",2.00019857303112
"Phoenix","AZ","04013113900",4
"Phoenix","AZ","04013114200",4
"Phoenix","AZ","04013114401",
"Phoenix","AZ","04013117200",4
"Phoenix","AZ","04013117300",
"Phoenix","AZ","04013108502",
"Phoenix","AZ","04013108901",
"Phoenix","AZ","04013109003",
"Phoenix","AZ","04013110501",3
"Phoenix","AZ","04013110502",2.12935721626456
"Phoenix","AZ","04013110600",2.51264996078581
"Phoenix","AZ","04013110702",2.32897503184478
"Phoenix","AZ","04013111602",2
"Phoenix","AZ","04013111700",2.00003863818201
"Phoenix","AZ","04013111800",1.56322214049552
"Phoenix","AZ","04013116800",3.00064295300667
"Phoenix","AZ","04013117000",
"Phoenix","AZ","04013117100",3
"Phoenix","AZ","04013112900",3.07076690157555
"Phoenix","AZ","04013113100",2.99923808224127
"Phoenix","AZ","04013113201",2.99745827576982
"Phoenix","AZ","04013113202",2.9995079916598
"Phoenix","AZ","04013113300",3.28011975615406
"Phoenix","AZ","04013114000",4
"Phoenix","AZ","04013114100",
"Phoenix","AZ","04013114301",3.96723824840827
"Phoenix","AZ","04013114302",4
"Phoenix","AZ","04013114402",3.02612777381237
"Phoenix","AZ","04013114800",4
"Phoenix","AZ","04013114900",4
"Phoenix","AZ","04013108501",3
"Phoenix","AZ","04013108601",3
"Phoenix","AZ","04013108602",3
"Phoenix","AZ","04013108902",
"Fresno","CA","06019000501",3.26830043323735
"Fresno","CA","06019000800",
"Fresno","CA","06019001202",
"Fresno","CA","06019001407",4
"Fresno","CA","06019002000",3.16592032105186
"Fresno","CA","06019002501",3.29613902246895
"Fresno","CA","06019002702",2.98490319887011
"Fresno","CA","06019002904",2
"Fresno","CA","06019002905",2.13600473352013
"Fresno","CA","06019002906",3
"Fresno","CA","06019003301",
"Fresno","CA","06019003701",3
"Fresno","CA","06019004901",2.86608143422232
"Fresno","CA","06019005203",
"Fresno","CA","06019003104",
"Fresno","CA","06019003201",
"Fresno","CA","06019003202",
"Fresno","CA","06019003302",
"Fresno","CA","06019003400",
"Fresno","CA","06019003500",3.01164131435218
"Fresno","CA","06019003600",2.12970876373391
"Fresno","CA","06019003702",
"Fresno","CA","06019004801",2.972776328812
"Fresno","CA","06019004802",
"Fresno","CA","06019004902",2.17458341005565
"Fresno","CA","06019005100",3
"Fresno","CA","06019005202",
"Fresno","CA","06019000100",3
"Fresno","CA","06019000200",3.82250733759532
"Fresno","CA","06019000300",3.18867303733348
"Fresno","CA","06019000400",2.96514621621751
"Fresno","CA","06019000502",3
"Fresno","CA","06019000600",3.00000615691454
"Fresno","CA","06019000700",3.0001222337634
"Fresno","CA","06019000901",4
"Fresno","CA","06019000902",3.83258149083923
"Fresno","CA","06019001100",3.15097822134764
"Fresno","CA","06019001201",
"Fresno","CA","06019001301",3.33080121463946
"Fresno","CA","06019001303",3
"Fresno","CA","06019001304",3
"Fresno","CA","06019001408",
"Fresno","CA","06019001410",
"Fresno","CA","06019002100",2.98849487920324
"Fresno","CA","06019002200",2.3838135104473
"Fresno","CA","06019002300",2.86057505432207
"Fresno","CA","06019002400",3.01608357094489
"Fresno","CA","06019002502",3.56888174511679
"Fresno","CA","06019002601",2.99967677275315
"Fresno","CA","06019002602",2.53713554880936
"Fresno","CA","06019002701",2.0448335450287
"Fresno","CA","06019002800",2.9992744129301
"Fresno","CA","06019002903",3.45256862467983
"Los Angeles","CA","06037102104",
"Los Angeles","CA","06037102105",
"Los Angeles","CA","06037102107",
"Los Angeles","CA","06037104103",
"Los Angeles","CA","06037104201",
"Los Angeles","CA","06037104320",4
"Los Angeles","CA","06037104404",4
"Los Angeles","CA","06037104701",4
"Los Angeles","CA","06037104821",
"Los Angeles","CA","06037106113",
"Los Angeles","CA","06037106403",
"Los Angeles","CA","06037106641",
"Los Angeles","CA","06037106648",
"Los Angeles","CA","06037107020",
"Los Angeles","CA","06037108202",
"Los Angeles","CA","06037109601",
"Los Angeles","CA","06037111100",
"Los Angeles","CA","06037111302",
"Los Angeles","CA","06037113212",
"Los Angeles","CA","06037113233",
"Los Angeles","CA","06037113301",
"Los Angeles","CA","06037113321",
"Los Angeles","CA","06037115101",
"Los Angeles","CA","06037115202",
"Los Angeles","CA","06037115401",
"Los Angeles","CA","06037117102",
"Los Angeles","CA","06037117303",
"Los Angeles","CA","06037117405",
"Los Angeles","CA","06037117510",
"Los Angeles","CA","06037119201",
"Los Angeles","CA","06037119320",
"Los Angeles","CA","06037119341",
"Los Angeles","CA","06037119800",
"Los Angeles","CA","06037120106",
"Los Angeles","CA","06037120107",
"Los Angeles","CA","06037101210",3
"Los Angeles","CA","06037102103",
"Los Angeles","CA","06037211922",3
"Los Angeles","CA","06037212101",3
"Los Angeles","CA","06037212102",3
"Los Angeles","CA","06037212202",3
"Los Angeles","CA","06037212203",3
"Los Angeles","CA","06037212204",3.00101690791036
"Los Angeles","CA","06037212303",3
"Los Angeles","CA","06037212306",3
"Los Angeles","CA","06037212501",3
"Los Angeles","CA","06037212800",2.04061862090131
"Los Angeles","CA","06037213202",3.99187867475278
"Los Angeles","CA","06037213402",3.05617225205962
"Los Angeles","CA","06037214901",3
"Los Angeles","CA","06037216100",2
"Los Angeles","CA","06037216402",3
"Los Angeles","CA","06037217001",2.77562491279637
"Los Angeles","CA","06037218120",3
"Los Angeles","CA","06037218400",3
"Los Angeles","CA","06037218701",3
"Los Angeles","CA","06037219010",3.01516074036988
"Los Angeles","CA","06037219800",3
"Los Angeles","CA","06037221110",3.87204935810071
"Los Angeles","CA","06037221220",4
"Los Angeles","CA","06037221401",3.67337098764045
"Los Angeles","CA","06037221710",4
"Los Angeles","CA","06037222001",4
"Los Angeles","CA","06037222500",3.97521939401275
"Los Angeles","CA","06037224200",3.14330131083467
"Los Angeles","CA","06037224420",3.81040032613987
"Los Angeles","CA","06037226410",4
"Los Angeles","CA","06037227020",4
"Los Angeles","CA","06037228220",4
"Los Angeles","CA","06037228500",4
"Los Angeles","CA","06037228900",4
"Los Angeles","CA","06037229410",3.99936946627641
"Los Angeles","CA","06037231600",3
"Los Angeles","CA","06037231900",3.0365485931371
"Los Angeles","CA","06037232400",3
"Los Angeles","CA","06037121020",
"Los Angeles","CA","06037121101",
"Los Angeles","CA","06037121102",
"Los Angeles","CA","06037121221",
"Los Angeles","CA","06037121801",
"Los Angeles","CA","06037122120",
"Los Angeles","CA","06037122410",
"Los Angeles","CA","06037123103",
"Los Angeles","CA","06037123303",
"Los Angeles","CA","06037123510",
"Los Angeles","CA","06037123602",2
"Los Angeles","CA","06037123902",
"Los Angeles","CA","06037124104",
"Los Angeles","CA","06037124203",3
"Los Angeles","CA","06037124600",2
"Los Angeles","CA","06037124903",1
"Los Angeles","CA","06037125320",3.07266685446093
"Los Angeles","CA","06037127102",
"Los Angeles","CA","06037127103",
"Los Angeles","CA","06037127300",
"Los Angeles","CA","06037127604",
"Los Angeles","CA","06037127711",
"Los Angeles","CA","06037127805",2
"Los Angeles","CA","06037128302",3.05177033721428
"Los Angeles","CA","06037128702",2
"Los Angeles","CA","06037131010",
"Los Angeles","CA","06037131300",
"Los Angeles","CA","06037131701",
"Los Angeles","CA","06037132001",
"Los Angeles","CA","06037132300",3
"Los Angeles","CA","06037133000",
"Los Angeles","CA","06037134001",3
"Los Angeles","CA","06037134104",
"Los Angeles","CA","06037134304",3
"Los Angeles","CA","06037134306",3
"Los Angeles","CA","06037134520",3
"Los Angeles","CA","06037134710",
"Los Angeles","CA","06037134903",
"Los Angeles","CA","06037135111",
"Los Angeles","CA","06037137103",
"Los Angeles","CA","06037137104",
"Los Angeles","CA","06037139001",
"Los Angeles","CA","06037139303",
"Los Angeles","CA","06037139503",
"Los Angeles","CA","06037139801",
"Los Angeles","CA","06037141102",1.71221232961993
"Los Angeles","CA","06037141303",2
"Los Angeles","CA","06037143100",1.44518160522939
"Los Angeles","CA","06037143902",1.68538041181307
"Los Angeles","CA","06037183101",3
"Los Angeles","CA","06037183221",3
"Los Angeles","CA","06037183520",2.99215510407977
"Los Angeles","CA","06037183702",3
"Los Angeles","CA","06037185204",2.63789681504607
"Los Angeles","CA","06037186201",2.99219013382511
"Los Angeles","CA","06037186403",3.00044294250835
"Los Angeles","CA","06037188100",3.51221106079763
"Los Angeles","CA","06037189101",2.99970173749583
"Los Angeles","CA","06037189201",3
"Los Angeles","CA","06037189702",1.76204615555216
"Los Angeles","CA","06037189903",2
"Los Angeles","CA","06037190301",3
"Los Angeles","CA","06037190520",3
"Los Angeles","CA","06037190901",3.72671481441085
"Los Angeles","CA","06037191204",3
"Los Angeles","CA","06037191420",4
"Los Angeles","CA","06037191620",3
"Los Angeles","CA","06037191901",3
"Los Angeles","CA","06037192300",2.92756282552544
"Los Angeles","CA","06037192410",3.05733014024988
"Los Angeles","CA","06037192420",3.21103436001968
"Los Angeles","CA","06037192510",3.00047386933294
"Los Angeles","CA","06037192620",3
"Los Angeles","CA","06037194401",2.89816824069467
"Los Angeles","CA","06037194500",2.66896891618922
"Los Angeles","CA","06037195600",3.10215030896699
"Los Angeles","CA","06037195803",3.50747676082782
"Los Angeles","CA","06037195902",3.0160707078287
"Los Angeles","CA","06037199201",4
"Los Angeles","CA","06037199700",
"Los Angeles","CA","06037201200",3.98212487942416
"Los Angeles","CA","06037201402",4
"Los Angeles","CA","06037201601",3
"Los Angeles","CA","06037203200",4
"Los Angeles","CA","06037203710",4
"Los Angeles","CA","06037204110",4
"Los Angeles","CA","06037204410",4
"Los Angeles","CA","06037204820",4
"Los Angeles","CA","06037205110",4
"Los Angeles","CA","06037206300",
"Los Angeles","CA","06037207302",
"Los Angeles","CA","06037207710",4
"Los Angeles","CA","06037208301",3.03314372278731
"Los Angeles","CA","06037208501",4
"Los Angeles","CA","06037208710",3
"Los Angeles","CA","06037208902",
"Los Angeles","CA","06037209103",3
"Los Angeles","CA","06037209401",3.99918822628166
"Los Angeles","CA","06037209520",4
"Los Angeles","CA","06037210010",4
"Los Angeles","CA","06037211122",3.01186792532003
"Los Angeles","CA","06037211320",3
"Los Angeles","CA","06037211703",3
"Los Angeles","CA","06037211803",3
"Los Angeles","CA","06037211921",3
"Los Angeles","CA","06037232700",3
"Los Angeles","CA","06037232800",3.03342899249
"Los Angeles","CA","06037234000",1.98119597819355
"Los Angeles","CA","06037234200",1.00792938561424
"Los Angeles","CA","06037234300",1.82674104347444
"Los Angeles","CA","06037234800",3.19818256263671
"Los Angeles","CA","06037235201",2.68650588650842
"Los Angeles","CA","06037236202",
"Los Angeles","CA","06037237101",3
"Los Angeles","CA","06037237401",3
"Los Angeles","CA","06037237710",3
"Los Angeles","CA","06037238310",3
"Los Angeles","CA","06037239201",3
"Los Angeles","CA","06037239501",3.00918120282555
"Los Angeles","CA","06037239602",3
"Los Angeles","CA","06037239801",3.01724482313752
"Los Angeles","CA","06037240401",3
"Los Angeles","CA","06037240800",3.00722395116676
"Los Angeles","CA","06037241110",3
"Los Angeles","CA","06037241300",3
"Los Angeles","CA","06037242300",4
"Los Angeles","CA","06037262200",1
"Los Angeles","CA","06037262501",1.93338485150024
"Los Angeles","CA","06037264000",1.80919578983694
"Los Angeles","CA","06037265201",2.19858440396886
"Los Angeles","CA","06037265303",2.91451521570114
"Los Angeles","CA","06037265420",1.37262112014104
"Los Angeles","CA","06037267402",3.21282689661981
"Los Angeles","CA","06037267404",3.948813653821
"Los Angeles","CA","06037267901",
"Los Angeles","CA","06037269601",2.99899615759889
"Los Angeles","CA","06037269903",3.52451029329263
"Los Angeles","CA","06037269906",3
"Los Angeles","CA","06037271100",2
"Los Angeles","CA","06037271400",3
"Los Angeles","CA","06037271701",3.23845469195407
"Los Angeles","CA","06037310702",2.99701004701849
"Los Angeles","CA","06037310703",2.83010318919285
"Los Angeles","CA","06037310800",2.02112103190977
"Los Angeles","CA","06037311000",3
"Los Angeles","CA","06037311400",3
"Los Angeles","CA","06037311802",2.89291773749137
"Los Angeles","CA","06037320300",3.67120184043555
"Los Angeles","CA","06037400302",
"Los Angeles","CA","06037400602",3
"Los Angeles","CA","06037401001",
"Los Angeles","CA","06037401102",3.43224322666692
"Los Angeles","CA","06037401602",3
"Los Angeles","CA","06037401703",
"Los Angeles","CA","06037402001",3
"Los Angeles","CA","06037402301",2.07305260507991
"Los Angeles","CA","06037402405",
"Los Angeles","CA","06037402501",3.31966656725783
"Los Angeles","CA","06037402703",
"Los Angeles","CA","06037402803",3
"Los Angeles","CA","06037403000",3
"Los Angeles","CA","06037403305",
"Los Angeles","CA","06037403318",3
"Los Angeles","CA","06037403401",
"Los Angeles","CA","06037403406",
"Los Angeles","CA","06037403702",
"Los Angeles","CA","06037403722",
"Los Angeles","CA","06037404201",3
"Los Angeles","CA","06037404701",4
"Los Angeles","CA","06037404802",4
"Los Angeles","CA","06037404902",4
"Los Angeles","CA","06037405102",4
"Los Angeles","CA","06037271702",2
"Los Angeles","CA","06037271801",3.17205848291778
"Los Angeles","CA","06037271802",3.99454188854655
"Los Angeles","CA","06037271901",3
"Los Angeles","CA","06037272201",3
"Los Angeles","CA","06037273200",4
"Los Angeles","CA","06037273600",4
"Los Angeles","CA","06037275101",3
"Los Angeles","CA","06037275400",3
"Los Angeles","CA","06037276400",3
"Los Angeles","CA","06037276603",
"Los Angeles","CA","06037291120",
"Los Angeles","CA","06037293201",
"Los Angeles","CA","06037293302",4
"Los Angeles","CA","06037294120",
"Los Angeles","CA","06037294302",4
"Los Angeles","CA","06037294520",4
"Los Angeles","CA","06037294810",4
"Los Angeles","CA","06037294900",4
"Los Angeles","CA","06037296402",4
"Los Angeles","CA","06037296901",3.78025048404711
"Los Angeles","CA","06037297602",4
"Los Angeles","CA","06037300400",3
"Los Angeles","CA","06037300902",1.06255751694042
"Los Angeles","CA","06037301203",2.57127501460041
"Los Angeles","CA","06037301300",1
"Los Angeles","CA","06037301602",2.67867473119339
"Los Angeles","CA","06037301801",3
"Los Angeles","CA","06037302003",3
"Los Angeles","CA","06037302104",2.99978770971695
"Los Angeles","CA","06037302302",3
"Los Angeles","CA","06037310201",1.86968692321202
"Los Angeles","CA","06037310501",3
"Los Angeles","CA","06037310701",2.97421106212329
"Los Angeles","CA","06037534404",3
"Los Angeles","CA","06037534405",3
"Los Angeles","CA","06037534406",
"Los Angeles","CA","06037534501",2.28940805406516
"Los Angeles","CA","06037534502",2.52594695542398
"Los Angeles","CA","06037534804",3
"Los Angeles","CA","06037535200",4
"Los Angeles","CA","06037535502",2.89766712717255
"Los Angeles","CA","06037535606",2.04592630097288
"Los Angeles","CA","06037535702",2
"Los Angeles","CA","06037540101",3
"Los Angeles","CA","06037540203",3
"Los Angeles","CA","06037540502",3
"Los Angeles","CA","06037540902",
"Los Angeles","CA","06037541300",4
"Los Angeles","CA","06037541605",2.20083788086813
"Los Angeles","CA","06037542000",3
"Los Angeles","CA","06037542401",2
"Los Angeles","CA","06037542501",
"Los Angeles","CA","06037542900",
"Los Angeles","CA","06037543201",
"Los Angeles","CA","06037543322",
"Los Angeles","CA","06037543502",
"Los Angeles","CA","06037543604",
"Los Angeles","CA","06037543703",
"Los Angeles","CA","06037544001",3
"Los Angeles","CA","06037550201",
"Los Angeles","CA","06037550602",3
"Los Angeles","CA","06037551402",3
"Los Angeles","CA","06037551900",
"Los Angeles","CA","06037552301",
"Los Angeles","CA","06037552700",3
"Los Angeles","CA","06037405203",4
"Los Angeles","CA","06037405301",
"Los Angeles","CA","06037405302",
"Los Angeles","CA","06037405600",
"Los Angeles","CA","06037406101",3
"Los Angeles","CA","06037406402",
"Los Angeles","CA","06037406500",
"Los Angeles","CA","06037406901",
"Los Angeles","CA","06037407102",
"Los Angeles","CA","06037407701",
"Los Angeles","CA","06037408004",
"Los Angeles","CA","06037408134",
"Los Angeles","CA","06037408139",
"Los Angeles","CA","06037408301",
"Los Angeles","CA","06037408501",
"Los Angeles","CA","06037408504",
"Los Angeles","CA","06037408627",
"Los Angeles","CA","06037408704",
"Los Angeles","CA","06037408722",
"Los Angeles","CA","06037430101",
"Los Angeles","CA","06037430501",2.68768581176646
"Los Angeles","CA","06037430723",2.97331782160918
"Los Angeles","CA","06037430901",3
"Los Angeles","CA","06037431700",2.65062647563095
"Los Angeles","CA","06037432000",2.58800383052192
"Los Angeles","CA","06037432401",3
"Los Angeles","CA","06037432700",3.49270154253537
"Los Angeles","CA","06037433102",
"Los Angeles","CA","06037433305",3
"Los Angeles","CA","06037433402",3
"Los Angeles","CA","06037433503",3
"Los Angeles","CA","06037433504",
"Los Angeles","CA","06037433601",3
"Los Angeles","CA","06037433602",3
"Los Angeles","CA","06037433901",3
"Los Angeles","CA","06037434004",
"Los Angeles","CA","06037460302",3
"Los Angeles","CA","06037460900",3.45603229281245
"Los Angeles","CA","06037461400",2.65031619846146
"Los Angeles","CA","06037461600",3.94754633507953
"Los Angeles","CA","06037462002",3.4613906875663
"Los Angeles","CA","06037462202",3
"Los Angeles","CA","06037462600",1.74836149599124
"Los Angeles","CA","06037463000",2.18796457327748
"Los Angeles","CA","06037463500",2.68496286057141
"Los Angeles","CA","06037463601",3
"Los Angeles","CA","06037464200",1
"Los Angeles","CA","06037480102",3
"Los Angeles","CA","06037480303",3
"Los Angeles","CA","06037480703",2.48802194082297
"Los Angeles","CA","06037480901",3.11254580048639
"Los Angeles","CA","06037480903",2.75299335865982
"Los Angeles","CA","06037481201",3
"Los Angeles","CA","06037481603",2.99144415159388
"Los Angeles","CA","06037481604",2.08787447019875
"Los Angeles","CA","06037481713",2.86526182426204
"Los Angeles","CA","06037481902",1.00000299074268
"Los Angeles","CA","06037482102",2.99297870414854
"Los Angeles","CA","06037482304",3
"Los Angeles","CA","06037482502",3
"Los Angeles","CA","06037482702",
"Los Angeles","CA","06037500500",
"Los Angeles","CA","06037500900",
"Los Angeles","CA","06037501503",3
"Los Angeles","CA","06037501504",3.48592465102739
"Los Angeles","CA","06037501700",
"Los Angeles","CA","06037501802",2.80968527517991
"Los Angeles","CA","06037502003",4
"Los Angeles","CA","06037502301",
"Los Angeles","CA","06037502602",3
"Los Angeles","CA","06037503000",
"Los Angeles","CA","06037503106",
"Los Angeles","CA","06037503301",
"Los Angeles","CA","06037503502",
"Los Angeles","CA","06037503703",
"Los Angeles","CA","06037504001",
"Los Angeles","CA","06037530006",
"Los Angeles","CA","06037530202",2
"Los Angeles","CA","06037530500",4
"Los Angeles","CA","06037530802",4
"Los Angeles","CA","06037531503",4
"Los Angeles","CA","06037531604",3.16874280458815
"Los Angeles","CA","06037531901",2
"Los Angeles","CA","06037532102",3
"Los Angeles","CA","06037532500",3
"Los Angeles","CA","06037532604",3
"Los Angeles","CA","06037532800",4
"Los Angeles","CA","06037533104",3
"Los Angeles","CA","06037533201",3
"Los Angeles","CA","06037533401",3
"Los Angeles","CA","06037533502",3
"Los Angeles","CA","06037533602",3
"Los Angeles","CA","06037533805",2.31046554926021
"Los Angeles","CA","06037534101",
"Los Angeles","CA","06037534202",
"Los Angeles","CA","06037930101",
"Los Angeles","CA","06037930200",
"Los Angeles","CA","06037930301",
"Los Angeles","CA","06037980013",
"Los Angeles","CA","06037980022",
"Los Angeles","CA","06037552900",
"Los Angeles","CA","06037553000",
"Los Angeles","CA","06037553100",
"Los Angeles","CA","06037553200",3
"Los Angeles","CA","06037553504",
"Los Angeles","CA","06037553801",3
"Los Angeles","CA","06037553902",3
"Los Angeles","CA","06037554103",3
"Los Angeles","CA","06037554203",3
"Los Angeles","CA","06037554403",3
"Los Angeles","CA","06037554511",
"Los Angeles","CA","06037554515",4
"Los Angeles","CA","06037554519",
"Los Angeles","CA","06037555102",
